Lrhomboides-Gene-Name,Percent-Identity,E-value,Bit-Score,Query-Coverage-Percent,Match-Ensembl-ID,Gene-Name,Gene-Description
Lrhomboides00000029,100,0,849,100,ENSSAUG00010001876,dnaja2a,DnaJ heat shock protein family (Hsp40) member A2 [Source:NCBI gene;Acc:115580531]
Lrhomboides00000030,96.135,0,1617,100,ENSSAUG00010001867,lrp3,LDL receptor related protein 3 [Source:NCBI gene;Acc:115580662]
Lrhomboides00000031,97.172,0,978,100,ENSSAUG00010001822,slc7a10a,asc-type amino acid transporter 1-like [Source:NCBI gene;Acc:115580591]
Lrhomboides00000032,97.525,0,1407,100,ENSSAUG00010000869,rhpn2,rhophilin Rho GTPase binding protein 2 [Source:NCBI gene;Acc:115580193]
Lrhomboides00000033,84.543,0,983,99,ENSSAUG00010000821,cep89,centrosomal protein 89 [Source:NCBI gene;Acc:393852]
Lrhomboides00000036,90.87,0,2618,100,ENSSAUG00010000710,abcc12,ATP binding cassette subfamily C member 12 [Source:NCBI gene;Acc:115580832]
Lrhomboides00000038,89.192,0,1526,99,ENSSAUG00010000456,mctp2b,multiple C2 and transmembrane domain-containing protein 2-like [Source:NCBI gene;Acc:115580689]
Lrhomboides00000039,89.513,5.35E-166,465,72,ENSSAUG00010000239,,
Lrhomboides00000040,99.537,0,899,100,ENSSAUG00010000269,NR2F2,COUP transcription factor 2-like [Source:NCBI gene;Acc:115580831]
Lrhomboides00000041,99.189,0,1008,52,ENSSAUG00010000254,SLCO3A1,solute carrier organic anion transporter family member 3A1-like [Source:NCBI gene;Acc:115580604]
Lrhomboides00000043,93.144,0,802,100,ENSSAUG00010000158,,
Lrhomboides00000044,89.811,1.04E-168,468,100,ENSSAUG00010000239,,
Lrhomboides00000045,83.482,2.48E-130,369,78,ENSSAUG00010002031,,
Lrhomboides00000046,81.333,2.26E-37,126,100,ENSSAUG00010002035,,
Lrhomboides00000048,98.333,2.06E-134,374,100,ENSSAUG00010026016,glo1,lactoylglutathione lyase-like [Source:NCBI gene;Acc:115580794]
Lrhomboides00000049,94.706,0,3274,100,ENSSAUG00010024284,eprs1,glutamyl-prolyl-tRNA synthetase 1 [Source:NCBI gene;Acc:115580186]
Lrhomboides00000050,82.658,0,961,100,ENSSAUG00010024086,tdp1,tyrosyl-DNA phosphodiesterase 1 [Source:NCBI gene;Acc:115579696]
Lrhomboides00000051,99.415,0,1051,100,ENSSAUG00010024085,hmbox1a,homeobox-containing protein 1-like [Source:NCBI gene;Acc:115580326]
Lrhomboides00000052,98.798,0,3574,99,ENSSAUG00010024064,kif13ba,kinesin-like protein KIF13B [Source:NCBI gene;Acc:115580110]
Lrhomboides00000054,93.625,3.68E-155,432,98,ENSSAUG00010024053,pnoca,prepronociceptin-like [Source:NCBI gene;Acc:115579699]
Lrhomboides00000055,98.443,0,1845,100,ENSSAUG00010023846,PDPR,pyruvate dehydrogenase phosphatase regulatory subunit [Source:NCBI gene;Acc:115580280]
Lrhomboides00000056,92.617,0,545,100,ENSSAUG00010023839,mrpl46,mitochondrial ribosomal protein L46 [Source:NCBI gene;Acc:115579766]
Lrhomboides00000057,90.84,7.05E-171,494,63,ENSSAUG00010023776,ntrk3b,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:115580283]
Lrhomboides00000058,91.966,0,1418,62,ENSSAUG00010023763,,
Lrhomboides00000059,91.829,0,1841,99,ENSSAUG00010023754,,
Lrhomboides00000060,98.703,0,1433,91,ENSSAUG00010023666,sv2ba,synaptic vesicle glycoprotein 2B-like [Source:NCBI gene;Acc:115579746]
Lrhomboides00000062,92.754,0,527,99,ENSSAUG00010023403,ANPEP,alanyl aminopeptidase; membrane [Source:HGNC Symbol;Acc:HGNC:500]
Lrhomboides00000063,96.166,0,1900,100,ENSSAUG00010023189,ANPEP,aminopeptidase N-like [Source:NCBI gene;Acc:115580435]
Lrhomboides00000064,99.408,1.66E-124,349,91,ENSSAUG00010023180,ap3s2,adaptor related protein complex 3 subunit sigma 2 [Source:NCBI gene;Acc:115580770]
Lrhomboides00000065,84.373,0,2227,99,ENSSAUG00010022954,igf1rb,insulin-like growth factor 1 receptor [Source:NCBI gene;Acc:115580305]
Lrhomboides00000066,95.122,0,687,100,ENSSAUG00010022944,lrrc28,leucine rich repeat containing 28 [Source:NCBI gene;Acc:115579690]
Lrhomboides00000067,85.532,1.03E-138,388,100,ENSSAUG00010022941,SNAP25,synaptosomal-associated protein 25-A-like [Source:NCBI gene;Acc:115580059]
Lrhomboides00000068,97.931,1.51E-104,297,83,ENSSAUG00010022937,COX5a2,cytochrome c oxidase subunit 5A; mitochondrial-like [Source:NCBI gene;Acc:115579772]
Lrhomboides00000069,99.457,8.30E-134,373,100,ENSSAUG00010022936,fam219b,family with sequence similarity 219 member B [Source:NCBI gene;Acc:115580736]
Lrhomboides00000070,97.368,2.54E-154,448,63,ENSSAUG00010022934,,AT-rich interactive domain-containing protein 3B-like [Source:NCBI gene;Acc:115580143]
Lrhomboides00000071,96.254,0,671,97,ENSSAUG00010022934,,AT-rich interactive domain-containing protein 3B-like [Source:NCBI gene;Acc:115580143]
Lrhomboides00000072,78.808,0,976,87,ENSSAUG00010022931,,semaphorin-7A-like [Source:NCBI gene;Acc:115580142]
Lrhomboides00000073,96.45,0,988,100,ENSSAUG00010022923,,synaptotagmin-5-like [Source:NCBI gene;Acc:115579786]
Lrhomboides00000074,92.357,0,539,100,ENSSAUG00010022922,,collagen and calcium-binding EGF domain-containing protein 1-like [Source:NCBI gene;Acc:115579719]
Lrhomboides00000075,95.035,0,838,100,ENSSAUG00010022921,gatm,glycine amidinotransferase [Source:NCBI gene;Acc:115580833]
Lrhomboides00000076,96.284,0,1225,99,ENSSAUG00010022874,,
Lrhomboides00000077,83.871,0,1029,100,ENSSAUG00010022708,slc27a2a,very long-chain acyl-CoA synthetase-like [Source:NCBI gene;Acc:115579707]
Lrhomboides00000078,95.366,0,1333,93,ENSSAUG00010022696,hdc,histidine decarboxylase [Source:NCBI gene;Acc:115579706]
Lrhomboides00000079,97.332,0,2193,100,ENSSAUG00010022679,usp8,ubiquitin specific peptidase 8 [Source:NCBI gene;Acc:115580448]
Lrhomboides00000080,90.458,0,1407,100,ENSSAUG00010022675,,ubiquitin specific peptidase 50 [Source:NCBI gene;Acc:115580015]
Lrhomboides00000081,96.57,0,1506,100,ENSSAUG00010022674,mapk6,mitogen-activated protein kinase 6 [Source:NCBI gene;Acc:115580111]
Lrhomboides00000082,94.54,0,1170,99,ENSSAUG00010022669,leo1,LEO1 homolog; Paf1/RNA polymerase II complex component [Source:NCBI gene;Acc:404599]
Lrhomboides00000083,98.555,0,695,100,ENSSAUG00010022659,tmod2,tropomodulin-3-like [Source:NCBI gene;Acc:115580363]
Lrhomboides00000084,95.538,0,895,78,ENSSAUG00010022653,scg3,secretogranin III [Source:NCBI gene;Acc:115580216]
Lrhomboides00000085,98.104,6.72E-152,421,100,ENSSAUG00010022656,lysmd2,LysM domain containing 2 [Source:NCBI gene;Acc:115580217]
Lrhomboides00000086,100,2.74E-136,386,55,ENSSAUG00010022651,tnfaip8l3,TNF alpha induced protein 8 like 3 [Source:NCBI gene;Acc:115580866]
Lrhomboides00000087,90,0,942,85,ENSSAUG00010022362,cyp19a1a,aromatase [Source:NCBI gene;Acc:115579648]
Lrhomboides00000090,94.104,0,6024,100,ENSSAUG00010022332,dmxl2,Dmx-like 2 [Source:ZFIN;Acc:ZDB-GENE-031007-6]
Lrhomboides00000091,93.496,0,2103,100,ENSSAUG00010022220,sema6dl,semaphorin 6D [Source:NCBI gene;Acc:115579961]
Lrhomboides00000092,89.944,0,639,78,ENSSAUG00010022214,si:dkeyp-86f7.4,si:dkeyp-86f7.4 [Source:ZFIN;Acc:ZDB-GENE-091204-252]
Lrhomboides00000093,91.089,0,917,99,ENSSAUG00010022209,slc24a5,solute carrier family 24 member 5 [Source:ZFIN;Acc:ZDB-GENE-031210-1]
Lrhomboides00000094,86.587,0,987,100,ENSSAUG00010022195,myef2,myelin expression factor 2 [Source:ZFIN;Acc:ZDB-GENE-051120-114]
Lrhomboides00000095,87.071,0,1798,99,ENSSAUG00010014810,slc12a1,solute carrier family 12 member 1 [Source:ZFIN;Acc:ZDB-GENE-080130-3]
Lrhomboides00000097,87.244,0,4841,98,ENSSAUG00010003510,FBN1,fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]
Lrhomboides00000099,94.528,0,2031,100,ENSSAUG00010002561,SECISBP2L,SECIS binding protein 2 like [Source:NCBI gene;Acc:115580233]
Lrhomboides00000100,100,0,929,100,ENSSAUG00010002547,cops2,COP9 signalosome subunit 2 [Source:NCBI gene;Acc:115580236]
Lrhomboides00000101,86.634,3.40E-127,357,100,ENSSAUG00010002544,fgf7,fibroblast growth factor 7 [Source:NCBI gene;Acc:115580238]
Lrhomboides00000102,97.039,0,620,92,ENSSAUG00010002543,dtwd1,DTW domain containing 1 [Source:NCBI gene;Acc:115580237]
Lrhomboides00000103,94.595,0,2044,100,ENSSAUG00010002030,nnt2,NAD(P) transhydrogenase; mitochondrial-like [Source:NCBI gene;Acc:115580234]
Lrhomboides00000104,88.621,0,1280,100,ENSSAUG00010001992,spata5l1,spermatogenesis associated 5 like 1 [Source:NCBI gene;Acc:115580235]
Lrhomboides00000105,95.238,2.77E-54,164,100,ENSSAUG00010001990,C15orf48,chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]
Lrhomboides00000106,87.441,0,590,91,ENSSAUG00010001988,slc30a4,solute carrier family 30 member 4 [Source:NCBI gene;Acc:115580209]
Lrhomboides00000107,88.372,5.06E-101,289,100,ENSSAUG00010001982,bloc1s6,biogenesis of lysosomal organelles complex 1 subunit 6 [Source:NCBI gene;Acc:115580210]
Lrhomboides00000108,98.507,9.63E-150,415,100,ENSSAUG00010001974,mibp2,nicotinamide riboside kinase 2-like [Source:NCBI gene;Acc:115580775]
Lrhomboides00000110,90.12,0,614,87,ENSSAUG00010001971,HAPLN3,hyaluronan and proteoglycan link protein 3 [Source:HGNC Symbol;Acc:HGNC:21446]
Lrhomboides00000111,81.971,0,796,93,ENSSAUG00010001355,mfge8a,EGF-like repeat and discoidin I-like domain-containing protein 3 [Source:NCBI gene;Acc:115580350]
Lrhomboides00000112,99.304,0,901,100,ENSSAUG00010001289,ABHD2,monoacylglycerol lipase ABHD2 [Source:NCBI gene;Acc:115580351]
Lrhomboides00000113,82.432,7.05E-173,480,100,ENSSAUG00010001297,,retinaldehyde-binding protein 1-like [Source:NCBI gene;Acc:115580377]
Lrhomboides00000114,79.47,3.50E-150,422,100,ENSSAUG00010001284,slc39a1,zinc transporter ZIP1 [Source:NCBI gene;Acc:115580862]
Lrhomboides00000115,100,6.41E-126,352,100,ENSSAUG00010001282,tmem208,transmembrane protein 208 [Source:NCBI gene;Acc:115579698]
Lrhomboides00000116,97.727,7.84E-179,506,75,ENSSAUG00010001276,smad6a,mothers against decapentaplegic homolog 6-like [Source:NCBI gene;Acc:115579700]
Lrhomboides00000117,96.465,1.75E-135,390,98,ENSSAUG00010001276,smad6a,mothers against decapentaplegic homolog 6-like [Source:NCBI gene;Acc:115579700]
Lrhomboides00000118,89.498,3.67E-135,392,65,ENSSAUG00010011625,smad3b,SMAD family member 3 [Source:NCBI gene;Acc:115586857]
Lrhomboides00000119,98.773,0,674,99,ENSSAUG00010001213,map2k5,mitogen-activated protein kinase kinase 5 [Source:NCBI gene;Acc:115580460]
Lrhomboides00000120,94.214,0,1168,100,ENSSAUG00010001195,skor1a,SKI family transcriptional corepressor 1 homolog-B-like [Source:NCBI gene;Acc:115579753]
Lrhomboides00000122,91.095,0,821,69,ENSSAUG00010001185,pias1b,E3 SUMO-protein ligase PIAS1-like [Source:NCBI gene;Acc:115580254]
Lrhomboides00000123,99.324,0,609,100,ENSSAUG00010001078,uacab,uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:NCBI gene;Acc:115579971]
Lrhomboides00000124,92.392,0,2505,97,ENSSAUG00010001078,uacab,uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:NCBI gene;Acc:115579971]
Lrhomboides00000125,98.092,0,1586,100,ENSSAUG00010000571,TLE3,transducin-like enhancer protein 3-B [Source:NCBI gene;Acc:115580267]
Lrhomboides00000126,96.356,0,1986,100,ENSSAUG00010000357,KIF23,kinesin family member 23 [Source:NCBI gene;Acc:115580825]
Lrhomboides00000127,85.556,0,615,100,ENSSAUG00010000298,paqr5a,progestin and adipoQ receptor family member Va [Source:NCBI gene;Acc:393156]
Lrhomboides00000128,98.824,0,1229,90,ENSSAUG00010000286,glceb,glucuronic acid epimerase [Source:NCBI gene;Acc:115580474]
Lrhomboides00000129,100,1.31E-123,349,75,ENSSAUG00010000179,anp32a,acidic (leucine-rich) nuclear phosphoprotein 32 family; member A [Source:NCBI gene;Acc:335907]
Lrhomboides00000130,95.625,0,948,94,ENSSAUG00010009845,coro2bb,coronin 2B [Source:NCBI gene;Acc:115579977]
Lrhomboides00000131,94.728,0,2250,100,ENSSAUG00010009833,itga11a,integrin subunit alpha 11 [Source:NCBI gene;Acc:115580889]
Lrhomboides00000132,86.429,0,3012,99,ENSSAUG00010009711,ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7 [Source:NCBI gene;Acc:115580213]
Lrhomboides00000133,96.053,5.79E-108,305,100,ENSSAUG00010009697,calml4a,calmodulin-like protein 4 [Source:NCBI gene;Acc:115580215]
Lrhomboides00000134,93.162,5.87E-74,224,90,ENSSAUG00010009695,,CLN6 transmembrane ER protein a [Source:ZFIN;Acc:ZDB-GENE-041010-57]
Lrhomboides00000135,93.074,5.27E-162,458,100,ENSSAUG00010009694,,neuronal acetylcholine receptor subunit alpha-7-like [Source:NCBI gene;Acc:115580189]
Lrhomboides00000136,95.307,0,1068,76,ENSSAUG00010009692,trip4,thyroid hormone receptor interactor 4 [Source:NCBI gene;Acc:115580188]
Lrhomboides00000137,96.922,0,2130,100,ENSSAUG00010009690,znf609b,zinc finger protein 609 [Source:NCBI gene;Acc:115580180]
Lrhomboides00000138,91.919,0,641,100,ENSSAUG00010009685,gramd2aa,GRAM domain containing 2A [Source:NCBI gene;Acc:115580585]
Lrhomboides00000139,83.439,0,2197,59,ENSSAUG00010006825,myo9aa,myosin IXAa [Source:NCBI gene;Acc:100006612]
Lrhomboides00000140,92.308,0,634,100,ENSSAUG00010006762,scamp2l,secretory carrier-associated membrane protein 2-like [Source:NCBI gene;Acc:115580344]
Lrhomboides00000141,98.088,0,1078,100,ENSSAUG00010006344,bbs4,Bardet-Biedl syndrome 4 [Source:NCBI gene;Acc:115580343]
Lrhomboides00000142,90.694,0,2158,95,ENSSAUG00010005315,neo1b,neogenin 1b [Source:ZFIN;Acc:ZDB-GENE-131121-320]
Lrhomboides00000143,80.107,0,877,99,ENSSAUG00010005149,snx1b,sorting nexin 1b [Source:ZFIN;Acc:ZDB-GENE-050913-82]
Lrhomboides00000144,99.787,0,984,100,ENSSAUG00010004501,csnk1g1,casein kinase 1 gamma 1 [Source:NCBI gene;Acc:115580103]
Lrhomboides00000146,98.252,0,1159,100,ENSSAUG00010003465,cpeb1b,cytoplasmic polyadenylation element binding protein 1 [Source:NCBI gene;Acc:115580680]
Lrhomboides00000147,97.436,0,537,98,ENSSAUG00010003298,rbpms2a,RNA binding protein; mRNA processing factor 2a [Source:ZFIN;Acc:ZDB-GENE-040718-106]
Lrhomboides00000148,98.734,7.51E-176,484,100,ENSSAUG00010003232,PSMA4,proteasome subunit alpha type-4-like [Source:NCBI gene;Acc:115580470]
Lrhomboides00000149,76.842,3.35E-45,154,63,ENSSAUG00010018939,,butyrophilin-like protein 1 [Source:NCBI gene;Acc:115583230]
Lrhomboides00000150,98.408,0,643,100,ENSSAUG00010003225,slc25a44b,solute carrier family 25 member 44-like [Source:NCBI gene;Acc:115580469]
Lrhomboides00000152,97.485,0,2684,100,ENSSAUG00010002374,sin3ab,paired amphipathic helix protein Sin3a-like [Source:NCBI gene;Acc:115580146]
Lrhomboides00000154,76.301,2.04E-95,274,100,ENSSAUG00010002347,,interleukin-17C-like [Source:NCBI gene;Acc:115579875]
Lrhomboides00000156,97.256,0,664,97,ENSSAUG00010002336,taldo1,transaldolase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3277]
Lrhomboides00000157,96.667,0,2255,100,ENSSAUG00010002303,ddb1,damage specific DNA binding protein 1 [Source:NCBI gene;Acc:115580461]
Lrhomboides00000158,87.126,0,1899,98,ENSSAUG00010002272,cfap70,cilia and flagella associated protein 70 [Source:ZFIN;Acc:ZDB-GENE-091204-50]
Lrhomboides00000159,97.452,5.58E-105,299,87,ENSSAUG00010002256,tmem138,transmembrane protein 138 [Source:HGNC Symbol;Acc:HGNC:26944]
Lrhomboides00000160,97.403,2.01E-166,467,59,ENSSAUG00010002252,cd151l,CD151 antigen-like [Source:NCBI gene;Acc:115580463]
Lrhomboides00000165,77.93,0,754,100,ENSSAUG00010024346,,
Lrhomboides00000178,80,3.94E-111,315,100,ENSSAUG00010000738,mthfs,methenyltetrahydrofolate synthetase [Source:NCBI gene;Acc:115580498]
Lrhomboides00000179,80.861,0,675,100,ENSSAUG00010000744,fah,fumarylacetoacetate hydrolase [Source:NCBI gene;Acc:115580497]
Lrhomboides00000181,99.727,0,1522,100,ENSSAUG00010000770,arnt2,aryl hydrocarbon receptor nuclear translocator 2 [Source:NCBI gene;Acc:115580100]
Lrhomboides00000182,95.918,0,1770,100,ENSSAUG00010000901,cemip,cell migration inducing hyaluronidase 1 [Source:NCBI gene;Acc:115580182]
Lrhomboides00000183,95.872,7.34E-131,368,100,ENSSAUG00010002143,mesd,mesoderm development LRP chaperone [Source:NCBI gene;Acc:115580183]
Lrhomboides00000184,85,0,2550,100,ENSSAUG00010002155,il16,interleukin 16 [Source:NCBI gene;Acc:115579911]
Lrhomboides00000185,99.052,1.17E-156,433,100,ENSSAUG00010002164,stard5,StAR related lipid transfer domain containing 5 [Source:NCBI gene;Acc:115579913]
Lrhomboides00000186,89.097,0,1897,95,ENSSAUG00010002180,si:dkey-15b23.3,si:dkey-15b23.3 [Source:ZFIN;Acc:ZDB-GENE-141216-304]
Lrhomboides00000191,93.382,0,944,100,ENSSAUG00010005649,mex3b,mex-3 RNA binding family member B [Source:NCBI gene;Acc:115580821]
Lrhomboides00000194,84.364,0,934,100,ENSSAUG00010005657,efl1,elongation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25789]
Lrhomboides00000198,91.938,0,1016,98,ENSSAUG00010005851,lmnl3,lamin-L(III)-like [Source:NCBI gene;Acc:115580692]
Lrhomboides00000201,94.429,0,1992,96,ENSSAUG00010005857,BNC1,basonuclin 1 [Source:NCBI gene;Acc:115580703]
Lrhomboides00000202,87.119,0,754,65,ENSSAUG00010005881,,histone-binding protein RBBP7 [Source:NCBI gene;Acc:115580212]
Lrhomboides00000203,91.494,0,823,97,ENSSAUG00010006267,txlng,gamma-taxilin-like [Source:NCBI gene;Acc:115580211]
Lrhomboides00000204,82.09,9.91E-111,335,100,ENSSAUG00010006324,ccdc102a,coiled-coil domain containing 102A [Source:NCBI gene;Acc:115580119]
Lrhomboides00000205,76.271,1.07E-103,302,100,ENSSAUG00010021026,dok6,docking protein 6 [Source:NCBI gene;Acc:115570376]
Lrhomboides00000207,94.928,6.57E-93,284,98,ENSSAUG00010011395,nadsyn1,NAD synthetase 1 [Source:NCBI gene;Acc:115568058]
Lrhomboides00000209,79.391,0,872,100,ENSSAUG00010011395,nadsyn1,NAD synthetase 1 [Source:NCBI gene;Acc:115568058]
Lrhomboides00000210,84.53,0,1140,94,ENSSAUG00010018026,tpcn2,two pore segment channel 2 [Source:NCBI gene;Acc:777614]
Lrhomboides00000211,95.455,1.50E-154,428,100,ENSSAUG00010011696,pop4,POP4 homolog; ribonuclease P/MRP subunit [Source:NCBI gene;Acc:115567527]
Lrhomboides00000213,85.103,0,1066,100,ENSSAUG00010011419,pcsk6,proprotein convertase subtilisin/kexin type 6 [Source:NCBI gene;Acc:115567525]
Lrhomboides00000224,94.505,5.65E-57,187,100,ENSSAUG00010005308,plekho2,pleckstrin homology domain containing O2 [Source:NCBI gene;Acc:115577779]
Lrhomboides00000225,80.53,0,969,100,ENSSAUG00010005308,plekho2,pleckstrin homology domain containing O2 [Source:NCBI gene;Acc:115577779]
Lrhomboides00000228,90.031,0,582,100,ENSSAUG00010005311,znf414,zinc finger protein 414 [Source:NCBI gene;Acc:115577772]
Lrhomboides00000229,95.89,0,587,100,ENSSAUG00010005313,mtch2,mitochondrial carrier 2 [Source:NCBI gene;Acc:115577773]
Lrhomboides00000231,88.398,7.38E-111,320,58,ENSSAUG00010006354,fadd,Fas associated via death domain [Source:NCBI gene;Acc:115580130]
Lrhomboides00000232,91.765,1.89E-179,495,93,ENSSAUG00010006350,,
Lrhomboides00000234,85.57,2.17E-180,504,95,ENSSAUG00010006358,,
Lrhomboides00000238,98.288,0,591,100,ENSSAUG00010000245,ccnd1,cyclin D1 [Source:NCBI gene;Acc:115580828]
Lrhomboides00000240,95.041,2.43E-143,405,76,ENSSAUG00010000266,fgf3,fibroblast growth factor 3 [Source:NCBI gene;Acc:115580582]
Lrhomboides00000242,94.667,2.25E-144,403,100,ENSSAUG00010000273,fgf4,fibroblast growth factor 4 [Source:NCBI gene;Acc:115579714]
Lrhomboides00000243,90.995,3.57E-140,391,100,ENSSAUG00010000293,fgf19,fibroblast growth factor 19 [Source:NCBI gene;Acc:115580392]
Lrhomboides00000247,85.753,0,1262,73,ENSSAUG00010000339,ano1,anoctamin 1; calcium activated chloride channel [Source:ZFIN;Acc:ZDB-GENE-121127-3]
Lrhomboides00000248,84.528,0,868,100,ENSSAUG00010002553,,programmed cell death 7 [Source:NCBI gene;Acc:115580843]
Lrhomboides00000249,91.64,0,578,100,ENSSAUG00010002556,spg21,SPG21 abhydrolase domain containing; maspardin [Source:NCBI gene;Acc:115580126]
Lrhomboides00000250,86.311,0,1147,100,ENSSAUG00010002749,shcbp1,SHC binding and spindle associated 1 [Source:NCBI gene;Acc:115580125]
Lrhomboides00000251,75.218,0,802,100,ENSSAUG00010003136,adgrg3,adhesion G protein-coupled receptor G3-like [Source:NCBI gene;Acc:115579720]
Lrhomboides00000255,98.182,0,1352,100,ENSSAUG00010003176,mmp15b,matrix metallopeptidase 15 [Source:NCBI gene;Acc:115580232]
Lrhomboides00000256,97.089,0,980,83,ENSSAUG00010003666,dhcr7,7-dehydrocholesterol reductase [Source:NCBI gene;Acc:115580499]
Lrhomboides00000257,94.02,0,1483,95,ENSSAUG00010003704,mtss1lb,protein MTSS 2-like [Source:NCBI gene;Acc:115580690]
Lrhomboides00000259,96.335,0,2477,99,ENSSAUG00010003837,si:ch211-186j3.6,neural-cadherin-like [Source:NCBI gene;Acc:115579627]
Lrhomboides00000260,95.645,0,1087,100,ENSSAUG00010003886,dpy19l3,dpy-19 like C-mannosyltransferase 3 [Source:NCBI gene;Acc:115579628]
Lrhomboides00000261,89.928,0,1998,100,ENSSAUG00010003938,znf507,zinc finger protein 507 [Source:NCBI gene;Acc:115580358]
Lrhomboides00000262,92.396,0,823,98,ENSSAUG00010003955,ccne1,cyclin E1 [Source:NCBI gene;Acc:115580647]
Lrhomboides00000263,96.642,0,538,100,ENSSAUG00010003962,zgc:162297,uncharacterized protein F13E9.13; mitochondrial-like [Source:NCBI gene;Acc:115580648]
Lrhomboides00000264,96.45,2.09E-120,338,100,ENSSAUG00010003963,si:ch211-260e23.9,tumor protein p53-inducible nuclear protein 1-like [Source:NCBI gene;Acc:115580649]
Lrhomboides00000265,92.647,1.94E-77,228,93,ENSSAUG00010003965,C19orf12,chromosome 19 open reading frame 12 [Source:HGNC Symbol;Acc:HGNC:25443]
Lrhomboides00000266,90.71,0,1756,100,ENSSAUG00010003973,AP2A2,AP-2 complex subunit alpha-2 [Source:NCBI gene;Acc:115580645]
Lrhomboides00000267,92.083,0,903,99,ENSSAUG00010004006,tph1b,tryptophan 5-hydroxylase 1-like [Source:NCBI gene;Acc:115579925]
Lrhomboides00000268,89.189,2.63E-92,269,87,ENSSAUG00010005033,cd81a,CD81 molecule [Source:NCBI gene;Acc:115580205]
Lrhomboides00000269,93.854,0,1524,100,ENSSAUG00010005034,pkp3b,plakophilin-3-like [Source:NCBI gene;Acc:115579851]
Lrhomboides00000270,96.361,0,1579,100,ENSSAUG00010005035,vps35,VPS35 retromer complex component [Source:NCBI gene;Acc:115579850]
Lrhomboides00000271,100,1.44E-110,311,100,ENSSAUG00010005036,C16orf87,chromosome 4 C16orf87 homolog [Source:NCBI gene;Acc:115580152]
Lrhomboides00000272,94.306,0,1087,100,ENSSAUG00010005041,gpt2,glutamic--pyruvic transaminase 2 [Source:NCBI gene;Acc:115580148]
