LrhomID,GOAccession,GOName,,,,,,,,,
Lrhomboides00000081,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00000081,GO:0006468,protein phosphorylation,,,,,,,,,
Lrhomboides00000082,GO:0005634,nucleus,,,,,,,,,
Lrhomboides00000082,GO:0006368,transcription elongation from RNA polymerase II promoter,,,,,,,,,
Lrhomboides00000082,GO:0007507,heart development,,,,,,,,,
Lrhomboides00000082,GO:0014032,neural crest cell development,,,,,,,,,
Lrhomboides00000082,GO:0016570,histone modification,,,,,,,,,
Lrhomboides00000082,GO:0016593,Cdc73/Paf1 complex,,,,,,,,,
Lrhomboides00000082,GO:0021529,spinal cord oligodendrocyte cell differentiation,,,,,,,,,
Lrhomboides00000082,GO:0021782,glial cell development,,,,,,,,,
Lrhomboides00000082,GO:0030318,melanocyte differentiation,,,,,,,,,
Lrhomboides00000082,GO:0048701,embryonic cranial skeleton morphogenesis,,,,,,,,,
Lrhomboides00000082,GO:0050936,xanthophore differentiation,,,,,,,,,
Lrhomboides00000083,GO:0005523,tropomyosin binding,,,,,,,,,
Lrhomboides00000083,GO:0051694,pointed-end actin filament capping,,,,,,,,,
Lrhomboides00000084,,,,,,,,,,,
Lrhomboides00000085,,,,,,,,,,,
Lrhomboides00000086,GO:0042981,regulation of apoptotic process,,,,,,,,,
Lrhomboides00000087,GO:0004497,monooxygenase activity,,,,,,,,,
Lrhomboides00000087,GO:0005506,iron ion binding,,,,,,,,,
Lrhomboides00000087,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",,,,,,,,,
Lrhomboides00000087,GO:0020037,heme binding,,,,,,,,,
Lrhomboides00000089,GO:0045162,clustering of voltage-gated sodium channels,,,,,,,,,
Lrhomboides00000090,GO:0001755,neural crest cell migration,,,,,,,,,
Lrhomboides00000090,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000090,GO:0030100,regulation of endocytosis,,,,,,,,,
Lrhomboides00000090,GO:0090263,positive regulation of canonical Wnt signaling pathway,,,,,,,,,
Lrhomboides00000090,GO:1901546,regulation of synaptic vesicle lumen acidification,,,,,,,,,
Lrhomboides00000091,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000091,GO:0030215,semaphorin receptor binding,,,,,,,,,
Lrhomboides00000092,,,,,,,,,,,
Lrhomboides00000093,GO:0005802,trans-Golgi network,,,,,,,,,
Lrhomboides00000093,GO:0006874,cellular calcium ion homeostasis,,,,,,,,,
Lrhomboides00000093,GO:0008273,"calcium, potassium:sodium antiporter activity",,,,,,,,,
Lrhomboides00000093,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000093,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00000093,GO:0070588,calcium ion transmembrane transport,,,,,,,,,
Lrhomboides00000094,GO:0003676,nucleic acid binding,,,,,,,,,
Lrhomboides00000094,GO:0003697,single-stranded DNA binding,,,,,,,,,
Lrhomboides00000094,GO:0003723,RNA binding,,,,,,,,,
Lrhomboides00000094,GO:0006357,regulation of transcription by RNA polymerase II,,,,,,,,,
Lrhomboides00000095,GO:0006811,ion transport,,,,,,,,,
Lrhomboides00000095,GO:0015377,cation:chloride symporter activity,,,,,,,,,
Lrhomboides00000095,GO:0016020,membrane,,,,,,,,,
Lrhomboides00000095,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000095,GO:0022857,transmembrane transporter activity,,,,,,,,,
Lrhomboides00000095,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00000096,GO:0000287,magnesium ion binding,,,,,,,,,
Lrhomboides00000096,GO:0004170,dUTP diphosphatase activity,,,,,,,,,
Lrhomboides00000096,GO:0006226,dUMP biosynthetic process,,,,,,,,,
Lrhomboides00000096,GO:0046081,dUTP catabolic process,,,,,,,,,
Lrhomboides00000097,GO:0005509,calcium ion binding,,,,,,,,,
Lrhomboides00000098,GO:0008284,positive regulation of cell population proliferation,,,,,,,,,
Lrhomboides00000098,GO:0030971,receptor tyrosine kinase binding,,,,,,,,,
Lrhomboides00000098,GO:0035556,intracellular signal transduction,,,,,,,,,
Lrhomboides00000098,GO:0048863,stem cell differentiation,,,,,,,,,
Lrhomboides00000099,GO:0035368,selenocysteine insertion sequence binding,,,,,,,,,
Lrhomboides00000100,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000100,GO:0008180,COP9 signalosome,,,,,,,,,
Lrhomboides00000101,GO:0005104,fibroblast growth factor receptor binding,,,,,,,,,
Lrhomboides00000101,GO:0005576,extracellular region,,,,,,,,,
Lrhomboides00000101,GO:0008083,growth factor activity,,,,,,,,,
Lrhomboides00000101,GO:0008543,fibroblast growth factor receptor signaling pathway,,,,,,,,,
Lrhomboides00000102,,,,,,,,,,,
Lrhomboides00000103,GO:0008746,NAD(P)+ transhydrogenase activity,,,,,,,,,
Lrhomboides00000103,GO:0016491,oxidoreductase activity,,,,,,,,,
Lrhomboides00000103,GO:1902600,proton transmembrane transport,,,,,,,,,
Lrhomboides00000104,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00000104,GO:0016887,ATP hydrolysis activity,,,,,,,,,
Lrhomboides00000105,,,,,,,,,,,
Lrhomboides00000106,GO:0006812,cation transport,,,,,,,,,
Lrhomboides00000106,GO:0008324,cation transmembrane transporter activity,,,,,,,,,
Lrhomboides00000106,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000106,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00000107,,,,,,,,,,,
Lrhomboides00000108,,,,,,,,,,,
Lrhomboides00000108,GO:0007044,cell-substrate junction assembly,,,,,,,,,
Lrhomboides00000108,GO:0007517,muscle organ development,,,,,,,,,
Lrhomboides00000108,GO:0070831,basement membrane assembly,,,,,,,,,
Lrhomboides00000110,GO:0005540,hyaluronic acid binding,,,,,,,,,
Lrhomboides00000110,GO:0007155,cell adhesion,,,,,,,,,
Lrhomboides00000111,GO:0005509,calcium ion binding,,,,,,,,,
Lrhomboides00000112,,,,,,,,,,,
Lrhomboides00000113,,,,,,,,,,,
Lrhomboides00000114,GO:0005886,plasma membrane,,,,,,,,,
Lrhomboides00000114,GO:0006829,zinc ion transport,,,,,,,,,
Lrhomboides00000114,GO:0008270,zinc ion binding,,,,,,,,,
Lrhomboides00000114,GO:0016020,membrane,,,,,,,,,
Lrhomboides00000114,GO:0030001,metal ion transport,,,,,,,,,
Lrhomboides00000114,GO:0046873,metal ion transmembrane transporter activity,,,,,,,,,
Lrhomboides00000114,GO:0055085,transmembrane transport,,,,,,,,,
Lrhomboides00000115,,,,,,,,,,,
Lrhomboides00000116,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000116,GO:0005667,transcription regulator complex,,,,,,,,,
Lrhomboides00000116,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00000116,GO:0007179,transforming growth factor beta receptor signaling pathway,,,,,,,,,
Lrhomboides00000116,GO:0007507,heart development,,,,,,,,,
Lrhomboides00000116,GO:0030514,negative regulation of BMP signaling pathway,,,,,,,,,
Lrhomboides00000116,GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation,,,,,,,,,
Lrhomboides00000117,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000117,GO:0005667,transcription regulator complex,,,,,,,,,
Lrhomboides00000117,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00000117,GO:0007179,transforming growth factor beta receptor signaling pathway,,,,,,,,,
Lrhomboides00000117,GO:0007507,heart development,,,,,,,,,
Lrhomboides00000117,GO:0030514,negative regulation of BMP signaling pathway,,,,,,,,,
Lrhomboides00000117,GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation,,,,,,,,,
Lrhomboides00000118,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000118,GO:0005667,transcription regulator complex,,,,,,,,,
Lrhomboides00000118,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00000118,GO:0007179,transforming growth factor beta receptor signaling pathway,,,,,,,,,
Lrhomboides00000119,GO:0004672,protein kinase activity,,,,,,,,,
Lrhomboides00000119,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000119,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00000119,GO:0006468,protein phosphorylation,,,,,,,,,
Lrhomboides00000119,GO:0007420,brain development,,,,,,,,,
Lrhomboides00000120,GO:0046332,SMAD binding,,,,,,,,,
Lrhomboides00000121,GO:0030514,negative regulation of BMP signaling pathway,,,,,,,,,
Lrhomboides00000121,GO:0046332,SMAD binding,,,,,,,,,
Lrhomboides00000121,GO:0110165,cellular anatomical entity,,,,,,,,,
Lrhomboides00000122,GO:0008270,zinc ion binding,,,,,,,,,
Lrhomboides00000122,GO:0019789,SUMO transferase activity,,,,,,,,,
Lrhomboides00000123,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000123,GO:0005634,nucleus,,,,,,,,,
Lrhomboides00000123,GO:0006325,chromatin organization,,,,,,,,,
Lrhomboides00000123,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00000123,GO:0016580,Sin3 complex,,,,,,,,,
Lrhomboides00000123,GO:0035267,NuA4 histone acetyltransferase complex,,,,,,,,,
Lrhomboides00000123,GO:0097190,apoptotic signaling pathway,,,,,,,,,
Lrhomboides00000123,GO:1901222,regulation of NIK/NF-kappaB signaling,,,,,,,,,
Lrhomboides00000124,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000124,GO:0005634,nucleus,,,,,,,,,
Lrhomboides00000124,GO:0006325,chromatin organization,,,,,,,,,
Lrhomboides00000124,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00000124,GO:0016580,Sin3 complex,,,,,,,,,
Lrhomboides00000124,GO:0035267,NuA4 histone acetyltransferase complex,,,,,,,,,
Lrhomboides00000124,GO:0097190,apoptotic signaling pathway,,,,,,,,,
Lrhomboides00000124,GO:1901222,regulation of NIK/NF-kappaB signaling,,,,,,,,,
Lrhomboides00000125,GO:0005515,protein binding,,,,,,,,,
Lrhomboides00000125,GO:0005634,nucleus,,,,,,,,,
Lrhomboides00000125,GO:0006355,"regulation of transcription, DNA-templated",,,,,,,,,
Lrhomboides00000126,GO:0003777,microtubule motor activity,,,,,,,,,
Lrhomboides00000126,GO:0005524,ATP binding,,,,,,,,,
Lrhomboides00000126,GO:0007018,microtubule-based movement,,,,,,,,,
Lrhomboides00000126,GO:0008017,microtubule binding,,,,,,,,,
Lrhomboides00000127,GO:0016021,integral component of membrane,,,,,,,,,
Lrhomboides00000128,GO:0015012,heparan sulfate proteoglycan biosynthetic process,,,,,,,,,
Lrhomboides00000128,GO:0042802,identical protein binding,,,,,,,,,
Lrhomboides00000128,GO:0047464,heparosan-N-sulfate-glucuronate 5-epimerase activity,,,,,,,,,
